Facility_Name,Facility_Type,ISCED020,ISCED1,ISCED2,ISCED3,Full_Addr,City,Prov_Terr,Postal_Code,CSDNAME,Longitude,Latitude
École Mgr-Marcel-François-Richard,Public,1,1,1,1,"49, rue du Collège, Unité 1 Saint-Louis-de-Kent E4X 1C2 NB",Saint-Louis-de-Kent,NB,E4X1C2,Saint-Louis de Kent,-64.97277601,46.74052039
École Calixte-F.-Savoie,Public,1,1,1,0,"20, Route 505 Sainte-Anne-de-Kent E4S 1K3 NB",Sainte-Anne-de-Kent,NB,E4S1K3,Wellington,-64.77299005,46.55203997
Académie Notre-Dame,Public,1,1,1,0,"357, rue Grey Dalhousie E8C 1W6 NB",Dalhousie,NB,E8C1W6,Dalhousie,-66.36932308,48.0626544
La Mosaïque du Nord,Public,1,1,1,0,"385, avenue des Pionniers Balmoral E8E 1B2 NB",Balmoral,NB,E8E1B2,Eel River Crossing,-66.43313202,47.99773677
Le Tournesol,Public,1,1,0,0,"63, rue LaPlante est Petit-Rocher E8J 1H4 NB",Petit-Rocher,NB,E8J1H4,Petit-Rocher,-65.71595169,47.78205156
Carrefour Étudiant,Public,1,1,1,0,"795, rue École Beresford E8K 1V4 NB",Beresford,NB,E8K1V4,Beresford,-65.70233614,47.70546209
Cité de l'Amitié,Public,1,1,0,0,"1300, avenue St-Joseph Bathurst E2A 3R5 NB",Bathurst,NB,E2A3R5,Bathurst,-65.68588033,47.63769338
École René-Chouinard,Public,1,1,1,0,"3, chemin Drisdelle Settlement Lagaceville E9G 2N3 NB",Lagaceville,NB,E9G2N3,Alnwick,-65.18264635,47.22733623
Centre scolaire communautaire La fontaine,Public,1,1,1,1,"700, rue Principale Néguac E9G 1N4 NB",Néguac,NB,E9G1N4,Neguac,-65.08026695,47.24294178
École Carrefour Beausoleil,Public,1,1,1,1,"300, chemin Beaverbrook Miramichi E1V 1A1 NB",Miramichi,NB,E1V1A1,Miramichi,-65.58770729,47.00895988
École Anna-Malenfant,Public,1,1,0,0,"500, rue Centrale Nord Dieppe E1A 6V7 NB",Dieppe,NB,E1A6V7,Dieppe,-64.71849095,46.08587699
École Amirault,Public,1,1,0,0,"401, chemin Melanson Dieppe E1A 1A5 NB",Dieppe,NB,E1A1A5,Dieppe,-64.7180092,46.06960975
École Sainte-Thérèse,Public,1,1,0,0,"500, rue Notre-Dame Dieppe E1A 5C2 NB",Dieppe,NB,E1A5C2,Dieppe,-64.75013473,46.09794819
École Grande-Rivière,Public,1,1,1,1,"40, rue de l'École Saint-Léonard E7E 1Y6 NB",Saint-Léonard,NB,E7E1Y6,Saint-Léonard,-67.92762013,47.16312206
École Mgr-Lang,Public,1,1,0,0,"1365, rue Tobique Drummond E3Y 2P4 NB",Drummond,NB,E3Y2P4,Drummond,-67.68935873,47.04007614
Régionale-de-Saint-André,Public,1,1,0,0,"477, rue de l'Église Saint-André E3Y 2Y2 NB",Saint-André,NB,E3Y2Y2,Saint-André,-67.76600203,47.10063075
Élémentaire Sacré-Coeur,Public,1,1,0,0,"689, boul. Éverard H. Daigle Grand-Sault/Grand Falls E3Z 3C5 NB",Grand-Sault/Grand Falls,NB,E3Z3C5,Grand Falls / Grand-Sault,-67.75787412,47.04475238
École Mgr-Martin,Public,1,1,0,0,"15, rue Deschênes Saint-Quentin E8A 1M2 NB",Saint-Quentin,NB,E8A1M2,Saint-Quentin,-67.38903916,47.51058783
École Marie-Gaétane,Public,1,1,1,1,"16, rue Fraser Kedgwick E8B 1E6 NB",Kedgwick,NB,E8B1E6,Kedgwick,-67.34705523,47.6477291
École Les Éclaireurs,Public,1,1,1,0,"160, promenade Eco Terra Fredericton E3A 9M1 NB",Fredericton,NB,E3A9M1,Fredericton,-66.61731716,45.97101802
École L'Étincelle,Public,1,1,1,0,"70, rue de l'Église Sainte-Marie-Saint-Raphaël E8T 1N8 NB",Sainte-Marie-Saint-Raphaël,NB,E8T1N8,Sainte-Marie-Saint-Raphaël,-64.56820582,47.80130494
École L'Envolée,Public,1,1,1,0,"135, rue de l'École Shippagan E8S 1V5 NB",Shippagan,NB,E8S1V5,Shippagan,-64.73078345,47.73898351
École La-Rivière,Public,1,1,1,0,"11291, Route 11 Pokemouche E8P 1H9 NB",Pokemouche,NB,E8P1H9,Inkerman,-64.87660304,47.66616321
École Régionale Saint-Basile,Public,1,1,1,0,"247, rue Principale Saint-Basile E7C 1H7 NB",Saint-Basile,NB,E7C1H7,Edmundston,-68.22639963,47.35703591
École Notre-Dame,Public,1,1,1,0,"99, rue Martin Edmundston E3V 2M7 NB",Edmundston,NB,E3V2M7,Edmundston,-68.32311956,47.37291868
École Mgr-Matthieu-Mazerolle,Public,1,1,1,0,"4, rue de l'École Rivière-Verte E7C 2R4 NB",Rivière-Verte,NB,E7C2R4,Rivière-Verte,-68.14144715,47.31685742
École Régionale Sainte-Anne,Public,1,1,1,0,"39, rue St-Joseph Sainte-Anne-de-Madawaska E7E 1K8 NB",Sainte-Anne-de-Madawaska,NB,E7E1K8,Sainte-Anne-de-Madawaska,-68.02898692,47.24944372
École Régionale de Baie-Sainte-Anne,Public,1,1,1,1,"5362, Route 117 Baie-Sainte-Anne E9A 1V9 NB",Baie-Sainte-Anne,NB,E9A1V9,Hardwicke,-64.96553126,47.04824557
École des Pionniers,Public,1,1,0,0,"250, chemin Quispamsis Quispamsis E2E 0R7 NB",Quispamsis,NB,E2E0R7,Quispamsis,-65.96288798,45.42518206
École Champlain,Public,1,1,1,0,"210, promenade Erinvale Moncton E1A 9T4 NB",Moncton,NB,E1A9T4,Moncton,-64.73499593,46.12059167
Le Galion des Appalaches,Public,1,1,1,0,"61, rue Dover Campbellton E3N 1P7 NB",Campbellton,NB,E3N1P7,Campbellton,-66.66512985,48.00086892
Centre Scolaire de la Rive-Sud,Public,1,1,1,1,"20, chemin Petite Évangéline Cookville N.-É. B4V 8Z9 NS",Cookville N.-É.,NS,B4V8Z9,Lunenburg,-64.54113884,44.40393632
Centre scolaire Étoile de l'Acadie,Public,1,1,1,1,"15, rue Inglis Sydney N.-É. B1P 7C6 NS",Sydney N.-É.,NS,B1P7C6,Cape Breton,-60.18322033,46.14087038
École acadienne de Truro,Public,1,1,1,1,"50, rue Aberdeen Truro N.-É. B2N 4V3 NS",Truro N.-É.,NS,B2N4V3,Truro,-63.26107538,45.36250816
École Beaubassin,Public,1,1,0,0,"54, boul. Larry Uteck Halifax N.-É. B3M 4R9 NS",Halifax N.-É.,NS,B3M4R9,Halifax,-63.66419706,44.69860413
École Belleville,Public,1,1,0,0,"84, chemin Belleville Tusket N.-É. B0W 3M0 NS",Tusket N.-É.,NS,B0W3M0,Argyle,-65.93139835,43.86380593
École Bois-Joli,Public,1,1,0,0,"211, av. du Portage Dartmouth N.-É. B2X 3T4 NS",Dartmouth N.-É.,NS,B2X3T4,Halifax,-63.53204034,44.70732349
École du Grand-Portage,Public,1,1,0,0,"100, Stokil Dr Lower Sackville N.-É. B4C 2G5 NS",Lower Sackville N.-É.,NS,B4C2G5,Halifax,-63.68150887,44.78396254
École Mer et Monde,Public,1,1,1,0,"5750, rue Atlantic Halifax N.-É. B3H 1G9 NS",Halifax N.-É.,NS,B3H1G9,Halifax,-63.57644155,44.63203313
École Rose-des-Vents,Public,1,1,1,1,"6, ch. Bedford Greenwood N.-É. B0P 1N0 NS",Greenwood N.-É.,NS,B0P1N0,"Kings, Subd. A",-64.94371972,44.9608523
École secondaire de Par-en-Bas,Public,0,0,1,1,"4258, route 308 Tusket N.-É. B0W 3M0 NS",Tusket N.-É.,NS,B0W3M0,Argyle,-65.96547644,43.8706001
École secondaire du Sommet,Public,0,1,1,1,"500, boul. Larry Uteck Halifax N.-É. B3M 0E6 NS",Halifax N.-É.,NS,B3M0E6,Halifax,-63.67857068,44.70102336
École Stella-Maris,Public,1,1,0,0,"288, ch. Peter Dugas Meteghan N.-É. B0W 2J0 NS",Meteghan N.-É.,NS,B0W2J0,Clare,-66.15448832,44.18272586
École Wedgeport,Public,1,1,0,0,"44, ch. Ditcher Wedgeport N.-É. B0W 3P0 NS",Wedgeport N.-É.,NS,B0W3P0,Argyle,-65.98257448,43.73860733
Académie Alexandre-Dumas,Public,1,1,0,0,255 Coronation promenade Scarborough Ontario M1E2J3,Scarborough,ON,M1E2J3,Toronto,-79.2387,43.74359
École élémentaire Franco-Niagara,Public,1,1,0,0,101 Afton av Welland Ontario L3B1W1,Welland,ON,L3B1W1,Welland,-79.2344,42.97948
ÉSC Sainte-Trinité,Catholic,0,0,1,1,2600 Grand Oak Trail Oakville Ontario L6M0R4,Oakville,ON,L6M0R4,Oakville,-79.7734,43.43788
École secondaire catholique Élisabeth-Bruyère,Catholic,0,0,1,0,359 Brydges rue Mattawa Ontario P0H1V0,Mattawa,ON,P0H1V0,Mattawa,-78.7111,46.31855
École secondaire catholique de Casselman,Catholic,0,0,1,1,778 Brébeuf rue Casselman Ontario K0A1M0,Casselman,ON,K0A1M0,Casselman,-75.0879,45.31603
École catholique Nouveau Regard - Pavillon St-Joseph,Catholic,1,1,1,0,1-399 8e rue Cochrane Ontario P0L1C0,Cochrane,ON,P0L1C0,Cochrane,-81.0142,49.07082
École catholique Nouveau Regard-Pavillon Jeunesse Nord,Catholic,0,0,1,1,2-399 8e rue Cochrane Ontario P0L1C0,Cochrane,ON,P0L1C0,Cochrane,-81.0134,49.071
École secondaire catholique Académie catholique Ange-Gabriel,Catholic,0,0,1,1,1515 Kensington prom. Brockville Ontario K6V6H9,Brockville,ON,K6V6H9,Brockville,-75.7182,44.61169
École secondaire catholique Centre professionnel et technique Minto,Catholic,0,0,1,1,801 de l'Aviation prom. Ottawa Ontario K1K4R3,Ottawa,ON,K1K4R3,Ottawa,-75.6339,45.43699
École élémentaire catholique Riverside Sud II,Catholic,1,1,0,0,925 Ralph Hennessy Avenue Gloucester Ontario K1X0C3,Gloucester,ON,K1X0C3,Ottawa,-75.6801,45.2716
École élémentaire catholique École élémentaire catholique Arnprior,Catholic,1,1,1,0,225 Baskin Drive Arnprior Ontario K7S0E3,Arnprior,ON,K7S0E3,Arnprior,-76.3735,45.42929
École Alliance St-Joseph,Catholic,1,1,1,0,3634 Errington avenue Chelmsford Ontario P0M1L0,Chelmsford,ON,P0M1L0,Greater Sudbury / Grand Sudbury,-81.1981,46.58498
École Notre-Dame-du-Sault,Catholic,1,1,1,0,600 North rue Sault Ste. Marie Ontario P6B2B9,Sault Ste. Marie,ON,P6B2B9,Sault Ste. Marie,-84.3358,46.53269
École Saint Nom de Jésus,Catholic,1,1,1,0,59 Neesomadina avenue Hornepayne Ontario P0M1Z0,Hornepayne,ON,P0M1Z0,Hornepayne,-84.7703,49.21291
École Saint-Joseph,Catholic,1,1,1,0,101 Churchill avenue Wawa Ontario P0S1K0,Wawa,ON,P0S1K0,Wawa,-84.7776,47.99216
École séparée Félix-Ricard,Catholic,1,1,1,0,691 Lasalle boulevard Sudbury Ontario P3A1X3,Sudbury,ON,P3A1X3,Greater Sudbury / Grand Sudbury,-80.9687,46.52156
École séparée Georges-Vanier,Catholic,1,1,1,0,140 Hillside Nord promenade Elliot Lake Ontario P5A1X7,Elliot Lake,ON,P5A1X7,Elliot Lake,-82.66,46.38312
École séparée Notre-Dame,Catholic,1,1,1,0,4503 Dennie rue Hanmer Ontario P3P1L1,Hanmer,ON,P3P1L1,Greater Sudbury / Grand Sudbury,-80.9465,46.65142
École séparée Notre-Dame-de-la-Merci,Catholic,1,1,1,0,2 Edward avenue Coniston Ontario P0M1M0,Coniston,ON,P0M1M0,Greater Sudbury / Grand Sudbury,-80.8503,46.49427
École séparée Sacré-Coeur,Catholic,1,1,0,0,14 Strathcona rue Chapleau Ontario P0M1K0,Chapleau,ON,P0M1K0,Chapleau,-83.3921,47.84527
École séparée Saint-Antoine,Catholic,1,1,1,0,20 St Antoine rue Noëlville Ontario P0M2N0,Noëlville,ON,P0M2N0,French River / Rivière des Français,-80.4292,46.13587
École séparée Saint-Augustin,Catholic,1,1,1,0,648 O'Neil ouest promenade Garson Ontario P3L1T6,Garson,ON,P3L1T6,Greater Sudbury / Grand Sudbury,-80.8827,46.55088
École séparée Saint-Charles-Borromée,Catholic,1,1,1,0,22 Ste Anne rue Saint-Charles Ontario P0M2W0,Saint-Charles,ON,P0M2W0,St.-Charles,-80.4198,46.3646
École séparée Saint-Denis,Catholic,1,1,1,0,1200 Ramsey View cour Sudbury Ontario P3E0E5,Sudbury,ON,P3E0E5,Greater Sudbury / Grand Sudbury,-81.0069,46.47845
École séparée Saint-Dominique,Catholic,1,1,0,0,2096 Montfort rue Sudbury Ontario P3A2K8,Sudbury,ON,P3A2K8,Greater Sudbury / Grand Sudbury,-80.9226,46.52546
École séparée Saint-Joseph,Catholic,1,1,0,0,1215 St. Anthony rue Hanmer Ontario P3P1B7,Hanmer,ON,P3P1B7,Greater Sudbury / Grand Sudbury,-80.9932,46.65001
École séparée Saint-Joseph,Catholic,1,1,1,0,44 Lawton rue Blind River Ontario P0R1B0,Blind River,ON,P0R1B0,Blind River,-82.9519,46.18605
École séparée Saint-Joseph,Catholic,1,1,1,0,149 du Parc avenue Dubreuilville Ontario P0S1B0,Dubreuilville,ON,P0S1B0,Dubreuilville,-84.5524,48.3505
École séparée Saint-Paul,Catholic,1,1,1,0,185 6e avenue Lively Ontario P3Y1M4,Lively,ON,P3Y1M4,Greater Sudbury / Grand Sudbury,-81.1487,46.43566
École séparée Saint-Pierre,Catholic,1,1,1,0,2115 Rita rue Sudbury Ontario P3B1L9,Sudbury,ON,P3B1L9,Greater Sudbury / Grand Sudbury,-80.9315,46.48887
École séparée Saint-Thomas,Catholic,1,1,1,0,14 Warren avenue Warren Ontario P0H2N0,Warren,ON,P0H2N0,Markstay-Warren,-80.3029,46.44176
École séparée Sainte-Anne,Catholic,1,1,0,0,30 Public chemin Spanish Ontario P0P2A0,Spanish,ON,P0P2A0,Spanish,-82.3477,46.19064
École séparée Sainte-Marie,Catholic,1,1,1,0,25 Marier rue Azilda Ontario P0M1B0,Azilda,ON,P0M1B0,Greater Sudbury / Grand Sudbury,-81.1153,46.5525
École séparée Sainte-Thérèse,Catholic,0,1,1,0,4617 Sainte-Thérèse rue Val Therese Ontario P3P1S5,Val Therese,ON,P3P1S5,Greater Sudbury / Grand Sudbury,-81.0023,46.65442
École séparée St-Joseph,Catholic,1,1,1,0,100 Bruyère rue Sudbury Ontario P3C2V1,Sudbury,ON,P3C2V1,Greater Sudbury / Grand Sudbury,-80.9947,46.50331
École séparée St-Étienne,Catholic,1,1,1,0,79 Houle avenue Dowling Ontario P0M1R0,Dowling,ON,P0M1R0,Greater Sudbury / Grand Sudbury,-81.3282,46.59143
École séparée élémentaire l'Horizon,Catholic,1,1,1,0,1650 Valleyview chemin Val Caron Ontario P3N1K7,Val Caron,ON,P3N1K7,Greater Sudbury / Grand Sudbury,-81.0089,46.59541
École intermédiaire Barrahven,Public,0,0,1,0,4025 Strandherd promenade Nepean Ontario K2J6E1,Nepean,ON,K2J6E1,Ottawa,-75.75915,45.2627
École secondaire publique Barrhaven sud,Public,0,0,1,1,4025 Strandherd promenade Nepean Ontario K2J6E1,Nepean,ON,K2J6E1,Ottawa,-75.7589,45.26297
École élémentaire publique Ottawa Ouest,Public,1,1,0,0,20 Harrison Street Nepean Ontario K2H7N5,Nepean,ON,K2H7N5,Ottawa,-75.7881,45.33672
A.S. Johnson Memorial,Public,1,1,1,1,"919, rue Mooney Ouest Thetford Mines G6G6H3",Thetford Mines,QC,G6G6H3,Thetford Mines,-71.301098,46.071897
Saint Thomas High,Public,0,0,1,1,"120, avenue Ambassador Pointe-Claire H9R1S8",Pointe-Claire,QC,H9R1S8,Pointe-Claire,-73.824917,45.450193
École Publique Gabrielle-Roy,Francophone,1,1,0,0,8728 - 93 Avenue Edmonton AB T6C1T8,Edmonton,AB,T6C1T8,Edmonton,-113.4630315,53.5306096
École Nouvelle Frontiere,Francophone,1,1,1,1,11201- Pinnacle Boulevard Grande Prairie AB T8W0C6,Grande Prairie,AB,T8W0C6,Grande Prairie,-118.8367507,55.14796315
École des Quatre-Vents,Francophone,1,1,1,1,7401 - 99 Street Peace River AB T8S1R4,Peace River,AB,T8S1R4,Peace River,-117.2883958,56.25697955
École Saint-Christophe,Francophone,1,1,1,0,214 - 8 Street Wainwright AB T9W2R2,Wainwright,AB,T9W2R2,Wainwright,-110.8646916,52.83588423
École Les Cypres,Francophone,1,1,1,1,"945 1st Avenue, SE Medicine Hat AB T1A2K6",Medicine Hat,AB,T1A2K6,Medicine Hat,-110.6845672,50.03019042
École de La Source,Francophone,1,1,1,1,360 - 94 Avenue S.E. Calgary AB T2J0E8,Calgary,AB,T2J0E8,Calgary,-114.0621706,50.96863748
École Desrochers,Francophone,1,1,1,1,302 Elm Avenue Jasper AB T0E1E0,Jasper,AB,T0E1E0,Jasper,-118.0824857,52.87759384
École Notre-Dame des Monts,Francophone,1,1,1,1,3100B Stewart Creek Drive Canmore AB T1W3M6,Canmore,AB,T1W3M6,Canmore,-115.31668,51.050036
École Notre-Dame des Vallees,Francophone,1,1,1,0,132 Quigley Drive Cochrane AB T4C1R1,Cochrane,AB,T4C1R1,Cochrane,-114.5031227,51.19535445
École Le Ruisseau,Francophone,1,1,1,1,803 - 4 Ave West Brooks AB T1R0B5,Brooks,AB,T1R0B5,Brooks,-111.9075763,50.5691312
Airdrie Francophone School,Francophone,1,1,1,1,1165 Ravenswood Drive Airdrie AB T4A0H3,Airdrie,AB,T4A0H3,Airdrie,-113.98034,51.26714249
École Beausoleil,Francophone,1,1,1,1,70 Ranchers Meadows Okotoks AB T1S0P5,Okotoks,AB,T1S0P5,Okotoks,-113.9680986,50.72980248
École Terre des Jeunes,Francophone,1,1,0,0,3720 - 42 Street NW Calgary AB T3A0C6,Calgary,AB,T3A0C6,Calgary,-114.1510762,51.08529002
École La Mosaïque,Francophone,1,1,0,0,199 Martindale Blvd NE Calgary AB T3J3G4,Calgary,AB,T3J3G4,Calgary,-113.9576799,51.11426252
École A la Découverte,Francophone,1,1,0,0,10935-113 Street Edmonton AB T5H3J4,Edmonton,AB,T5H3J4,Edmonton,-113.5153728,53.5558229
Notre-Dame de la Paix,Francophone,1,1,0,0,809 Willingdon Blvd SE Calgary AB T2J2B7,Calgary,AB,T2J2B7,Calgary,-114.0440396,50.9510157
École Héritage,Francophone,1,1,1,1,"110 Charbonneau, Falher, AB T0H 1M0",Falher,AB,T0H1M0,Falher,-117.1949847,55.73527345
École Boreal,Francophone,1,1,1,1,312 Abasand Drive Fort McMurray AB T9J1B2,Fort McMurray,AB,T9J1B2,Wood Buffalo,-111.3801968,56.71218253
École Sainte-Catherine,Francophone,1,1,0,0,"10309 102 Ave, Lac la Biche, AB T0A 2C2",Lac La Biche,AB,T0A2C0,Lac la Biche County,-111.9851683,54.7697437
École des Fondateurs,Francophone,1,1,1,0,4707 - 56 Street Camrose AB T4V2C4,Camrose,AB,T4V2C4,Camrose,-112.8358543,53.0166295
École Sans-Frontières,Francophone,1,1,0,1,4204-54e Avenue Lloydminster AB T9V2R6,Lloydminster,AB,T9V2R6,Lloydminster (Part),-110.0154093,53.27611499
École Claudette-et-Denis-Tardif,Francophone,1,1,0,0,10 Hawkins Crescent Sherwood Park AB T8A3P2,Sherwood Park,AB,T8A3P2,Strathcona County,-113.3220912,53.51980491
École du Nouveau-Monde,Francophone,1,1,0,0,220 Scenic Acres Drive NW Calgary AB T3L0E7,Calgary,AB,T3L0E7,Calgary,-114.2134155,51.11163568
École Citadelle,Francophone,1,1,1,0,P.O. Box 28 5109 - 46 Street Legal AB T0G1L0,Legal,AB,T0G1L0,Legal,-113.5880101,53.95064355
École La Mission,Francophone,1,1,0,0,46 Heritage Drive St. Albert AB T8N7J5,St. Albert,AB,T8N7J5,St. Albert,-113.6258453,53.60782734
École La Prairie,Francophone,1,1,1,1,4810 34 Street Red Deer AB T4N4R6,Red Deer,AB,T4N4R6,Red Deer,-113.81158,52.25391746
École La Verendrye,Francophone,1,1,1,1,"625, 21st Street South Lethbridge AB T1J5E4",Lethbridge,AB,T1J5E4,Lethbridge,-112.810759,49.690959
École Beausejour,Francophone,1,1,1,1,"10026 1 Ave, Plamondon, AB T0A 2T0",Plamondon,AB,T0A2T0,Lac la Biche County,-112.347183,54.8457707
École des Beaux-Lacs,Francophone,1,1,1,1,4312 - 34 Street Bonnyville AB T9N2R3,Bonnyville,AB,T9N2R3,Bonnyville,-110.7069275,54.2614393
École du Sommet,Francophone,1,1,1,1,"40 St, St. Paul, AB T0A 3A0",St. Paul,AB,T0A3A0,St. Paul,-111.265436,53.988482
École Voyageur,Francophone,1,1,1,1,4719 - 69 Avenue Cold Lake AB T9M2E6,Cold Lake,AB,T9M2E6,Cold Lake,-110.2015128,54.4370664
École Pere-Lacombe,Francophone,1,1,0,0,10715 - 131A Avenue Edmonton AB T5E0X4,Edmonton,AB,T5E0X4,Edmonton,-113.5050456,53.5907284
